"champ";"statut";"annee";"periode";"date du resultat";"ipe";var;mnt;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 14:17:53";="590782165";05;23414259.95;2023.7;X590782165;30AUG23;14:17:25
"mco";"dgf";"2023";"7";"2023/08/30 14:40:28";="620101360";01;56347946;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:28";="620101360";11;32869635.167;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:28";="620101360";02;28430702.268;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:28";="620101360";03;R;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:28";="620101360";04;31537955.3;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:40:28";="620101360";05;31537955.3;2023.7;X620101360;30AUG23;14:38:44
"mco";"dgf";"2023";"7";"2023/08/30 14:56:53";="590781662";01;19700598;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:53";="590781662";11;11492015.5;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:53";="590781662";02;9438090.342;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:53";="590781662";03;R;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:53";="590781662";04;10875837.95;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 14:56:53";="590781662";05;10875837.95;2023.7;X590781662;30AUG23;14:55:22
"mco";"dgf";"2023";"7";"2023/08/30 15:23:07";="590052056";01;21172720;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:23:07";="590052056";11;12350753.333;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:23:07";="590052056";02;12221094.083;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:23:07";="590052056";03;R;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:23:07";="590052056";04;12311855.56;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/30 15:23:07";="590052056";05;12311855.56;2023.7;X590052056;30AUG23;15:22:42
"mco";"dgf";"2023";"7";"2023/08/31 10:40:00";="620103440";01;115384557;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:40:00";="620103440";11;67307658.25;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:40:00";="620103440";02;61806998.409;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:40:00";="620103440";03;R;2023.7;X620103440;31AUG23;10:37:57
"mco";"dgf";"2023";"7";"2023/08/31 10:40:00";="620103440";04;65657460.31;2023.7;X620103440;31AUG23;10:37:57
