"champ";"statut";"annee";"periode";"date du resultat";"ipe";_NAME_;COL1;COL2;COL3;COL4;COL5;COL6;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbrsah0;327;263;24.33460076;239;190;25.789473684;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbjh0;4132;3383;22.140112326;3026;2451;23.459812322;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbuhcd;0;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:47";="590782645";nbabott;0;0;;0;0;;2023.7;X590782645;28AUG23;12:09:41
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";per;1;2;3;1;2;3;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbrsa;256;254;0.7874015748;181;185;-2.162162162;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";cmd90;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";hper;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";typsejb;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";ghs9999;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbrsaseance;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbseances;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbrsa0;8;5;60;5;2;150;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbjJT0;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbrsah0;248;249;-0.401606426;176;183;-3.825136612;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbjh0;3242;3072;5.5338541667;2381;2282;4.3382997371;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbuhcd;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 12:51:14";="600100572";nbabott;0;0;;0;0;;2023.7;X600100572;28AUG23;12:51:09
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";per;1;2;3;1;2;3;2023.7;X020004495;28AUG23;15:44:15
"mco";"dgf";"2023";"7";"2023/08/28 15:44:19";="020004495";nbrsa;2126;2004;6.0878243513;1496;1501;-0.333111259;2023.7;X020004495;28AUG23;15:44:15
